Name,Functional Group,Default
Siderastrea siderea,Hard coral,SidSid
Siderastrea stellata,Hard coral,SidStel
Siderastreidae,Hard coral,Sider
Solenastrea,Hard coral,SOLE
Solenastrea bournoni,Hard coral,SOLBOU
Solenastrea hyades,Hard coral,SOL
Stephanocoenia intersepta,Hard coral,StephInt
Stephanocoenia michellini,Hard coral,SMIC
Stephanocoenia spp.,Hard coral,StSp
Stichopathes sp.,Hard coral,Stpa
Stony Corals: Colonial,Hard coral,StonyC_Col
Stony Corals: Solitary,Hard coral,StonyC_Sol
Stylaraea,Hard coral,Stylar
Stylaster_bushy,Hard coral,syabus
Stylaster roseus,Hard coral,Fire Sros
Stylocoeniella,Hard coral,Styloc
Stylophora,Hard coral,Styloph
Stylophora (branching),Hard coral,St_bra
Stylophora_bushy,Hard coral,stybus
Stylophora mordax,Hard coral,Sty_mor
Stylophora pistillata,Hard coral,StPis
Submassive Goniopora,Hard coral,C_SM_GOP
Submassive Goniopora (Bleached),Hard coral,C_SM_GOP_B
Submassive Goniopora (Paling),Hard coral,C_SM_GOP_P
Symphyllia,Hard coral,Symph
Symphyllia_encrusting,Hard coral,symenc
Symphyllia Encrusting,Hard coral,SymEn
Symphyllia_massive,Hard coral,symmas
Syphyliia Encrusting,Hard coral,SyphEnc
Table-like Hard Coral,Hard coral,PHC
Tabulate Acropora,Hard coral,TabAc
test coral,Hard coral,TC
TFP: Porites,Hard coral,TFP_SMO_Po
TFP: Turbinaria,Hard coral,TFP_RND_Tu
TFP: Visible Relief Structures,Hard coral,TFP_RDG_Al
TFP: Visible Relief Structures Bleached,Hard coral,TFP_RDG-B*
TFP: Visible Round Corallites,Hard coral,TFP_RND_Al
TFP: Visible Round Corallites Bleached,Hard coral,TFP_RND-B*
"Thin, Foliose, and Plating bleached",Hard coral,TFP_BLC
Thin/Foliose/Plating Montipora,Hard coral,TFP_RDG_Mo
"Thin, Foliose, Plating: Other",Hard coral,TFP_OTH
Totally bleached Acropora formosa 1,Hard coral,TB_ACfor
Totally bleached Lobophyllia sp.,Hard coral,TB_Lobo
Totally bleached Montipora sp.,Hard coral,TB_Monti
Totally bleached Platygyra ryukyuensis,Hard coral,TB_Pryu
Totally bleached Porites cylindrica,Hard coral,TB_Pcyl
Totally bleached Seratiopora hystrix,Hard coral,TB_Shys
Trachyphyllia,Hard coral,Trachyph
Tridacna crocea,Hard coral,Tri_cro
Tubastraea,Hard coral,Tubastraea
Tubastraea_bushy,Hard coral,tubbus
Tubastraea coccinea,Hard coral,TUBCOC
Tubastraea tagusensis,Hard coral,TuTag
Tubastrea,Hard coral,Tubastrea
Tubastrea aurea,Hard coral,TUBAU
Tubastrea coccinea,Hard coral,Tub_C
Tubipora_massive,Hard coral,tubmas
Turbinaria (coral),Hard coral,Turbinaria
Turbinaria_encrusting,Hard coral,turenc
Turbinaria Encrusting,Hard coral,TurbEnc
Turbinaria_foliose,Hard coral,turfol
Turbinaria Foliose,Hard coral,TurbFol
Turbinaria_massive,Hard coral,turmas
Turbinaria mesenterina,Hard coral,TurMes
Turbinaria peltata,Hard coral,TurPel
Turbinaria reniformis,Hard coral,TurRen
Unhealthy tissue color,Hard coral,UnHCol
Unidentified Hard Coral,Hard coral,HCoral
unknown branching coral,Hard coral,UCB
Unknown Coral,Hard coral,Un coral
unknown dead branching,Hard coral,unk_br_D
unknown dead massive,Hard coral,unk_mass_D
unknown encrusting coral,Hard coral,Enc_cor
Unknown Hard Coral,Hard coral,UnkCoral
unknown massive coral,Hard coral,UMC
zooanhtid,Hard coral,ZO
Zoopilus echinatus,Hard coral,ZPE
0mm Encrusting Sponge,Other Invertebrates,0mmEnSp
0mm Sponge Maybe,Other Invertebrates,0mmSpMb
0mm Yellow Encrusting Sponge,Other Invertebrates,0mmYEnSp
10cm Agelas conifera/tubulata,Other Invertebrates,10cAgConTu
10cm Ailochroia crassa,Other Invertebrates,10cAiCr
10cm Ball Sponge,Other Invertebrates,10cBaSp
10cm Brown and White Sponge,Other Invertebrates,10cBWSp
10cm Elkhorn Agelas,Other Invertebrates,10cElkAg
10cm Massive Sponge,Other Invertebrates,10cMaSp
10cm Multitubed Sponge,Other Invertebrates,10cMuSp
10cm Myrmekioderma,Other Invertebrates,10cMyrmek
10cm Orange Agelas,Other Invertebrates,10cOrAg
10cm Plakortis,Other Invertebrates,10cPlak
10cm Sponge,Other Invertebrates,10cSpgOth
10cm Sponge Maybe,Other Invertebrates,10cSpMb
10cm Thick Encrusting Yellow Sclerosponge,Other Invertebrates,10cYlSclsp
10cm Thin Ear Sponge,Other Invertebrates,10cTnEarSp
10cm Tube Sponge,Other Invertebrates,10cTbSp
10cm White Tube Sponge,Other Invertebrates,10cWTubSp
10cm Xestospongia muta,Other Invertebrates,10cXmuta
10cm Yellow Ear Sponge,Other Invertebrates,10cYlEarSp
1cm Agelas conifera/tubulata,Other Invertebrates,1cAgConTub
1cm Ailochroia crassa,Other Invertebrates,1cAiCr
1cm Aplysina Rope,Other Invertebrates,1cApRop
1 cm Brown and White Sponge,Other Invertebrates,1cBWSp
1cm Encrusting Sponge,Other Invertebrates,1cEnSp
1cm Myrmekioderma,Other Invertebrates,1cMyrmek
1cm Orange Agelas,Other Invertebrates,1cOrAg
1cm Plakortis,Other Invertebrates,1cPlak
1cm Rope Sponge,Other Invertebrates,1cRpSp
1cm Sponge,Other Invertebrates,1cSpgOth
1cm Sponge Maybe,Other Invertebrates,1cSpMb
1cm Thick Encrusting Yellow Sclerosponge,Other Invertebrates,1cYlSclsp
1cm Thin Ear Sponge,Other Invertebrates,1cTnEarSp
1cm Tube Sponge,Other Invertebrates,1cTbSp
1cm White Encrusting Sponge,Other Invertebrates,1cWEnSp
1cm Xestospongia Muta,Other Invertebrates,1cXmuta
1 cm Yellow Ear Sponge,Other Invertebrates,1cYlEarSp
1cm Yellow Encrusting Sponge,Other Invertebrates,1cYEnSp
1m Massive Sponge,Other Invertebrates,100cMaSp
1m Sponge Maybe,Other Invertebrates,1mSpMb
1m Xestospongia muta,Other Invertebrates,100cXmuta
1m Yellow Ear Sponge,Other Invertebrates,100cYlErSp
20cm Agelas conifera/tubulata,Other Invertebrates,20cAgConTu
20cm Ball Sponge,Other Invertebrates,20cBaSp
20cm Brown and White Sponge,Other Invertebrates,20cBWSp
20cm Elkhorn Agelas,Other Invertebrates,20cElkAg
20cm Massive Sponge,Other Invertebrates,20cMaSp
20cm Multitubed Sponge,Other Invertebrates,20cMuSp
20cm Myrmekioderma,Other Invertebrates,20cMyrmek
20cm Orange Agelas,Other Invertebrates,20cOrAg
20cm Plakortis,Other Invertebrates,20cPlak
20cm Sponge,Other Invertebrates,20cSpgOth
20cm Sponge Maybe,Other Invertebrates,20cSpMb
20cm Thick Encrusting Yellow Sclerosponge,Other Invertebrates,20cYlSclsp
20 cm Tube Sponge,Other Invertebrates,20cTbSp
20cm Xestospongia muta,Other Invertebrates,20cXmuta
20cm Yellow Ear Sponge,Other Invertebrates,20cYlEarSp
3cm Agelas conifera/tubulata,Other Invertebrates,3cAgConTub
3cm Ailochroia crassa,Other Invertebrates,3cAiCr
3cm Aplysina Rope,Other Invertebrates,3cApRop
3cm Ball Sponge,Other Invertebrates,3cBaSp
3cm Brown and White Sponge,Other Invertebrates,3cBWSp
3cm Elkhorn Agelas,Other Invertebrates,3cElkAg
3cm Encrusting Sponge,Other Invertebrates,3cEnSp
3cm Massive Sponge,Other Invertebrates,3cMaSp
3cm Multitubed Sponge,Other Invertebrates,3cMuSp
3cm Myrmekioderma,Other Invertebrates,3cMyrmek
3cm Orange Agelas,Other Invertebrates,3cOrAg
3cm Plakortis,Other Invertebrates,3cPlak
3cm Rope Sponge,Other Invertebrates,3cRpSp
3cm Sponge,Other Invertebrates,3cSpgOth
3cm Sponge Maybe,Other Invertebrates,3cSpMb
3cm Thick Encrusting Yellow Sclerosponge,Other Invertebrates,3cYlSclsp
3cm Thin Ear Sponge,Other Invertebrates,3cTnEarSp
3cm Tube Sponge,Other Invertebrates,3cTbSp
3cm White Encrusting Sponge,Other Invertebrates,3cWEnSp
3cm White Tube Sponge,Other Invertebrates,3cWTubSp
3cm Xestospongia muta,Other Invertebrates,3cXmuta
3 cm Yellow Ear Sponge,Other Invertebrates,3cYlEarSp
3cm Yellow Encrusting Sponge,Other Invertebrates,3cYEnSp
50cm Ball Sponge,Other Invertebrates,50cBaSp
50cm Brown and White Sponge,Other Invertebrates,50cBWSp
50cm Massive Sponge,Other Invertebrates,50cMaSp
50cm Multitubed Sponge,Other Invertebrates,50cMuSp
50cm Orange Agelas,Other Invertebrates,50cOrAg
50cm Sponge,Other Invertebrates,50cSpgOth
50cm Sponge Maybe,Other Invertebrates,50cSpMb
50cm Tube Sponge,Other Invertebrates,50cTbSp
50cm Xestospongia muta,Other Invertebrates,50cXmuta
50cm Yellow Ear Sponge,Other Invertebrates,50cYlEarSp
51_arborescent_antipatharians,Other Invertebrates,ANAb
51_arborescent_bryozoans,Other Invertebrates,BRAr
51_arborescent_octocoral,Other Invertebrates,OCA
51_arborescent_zoantharian,Other Invertebrates,ZOAr
51_branching_repent_sponge,Other Invertebrates,SPBR
51_bushy_hydrozoan,Other Invertebrates,HBu
51_bushy_octocoral,Other Invertebrates,OCB
51_clustered_ascidian,Other Invertebrates,ASCl
51_clustered_octocoral,Other Invertebrates,OCC
51_digitate_octocoral,Other Invertebrates,OCDi
51_encrusting_actinarians,Other Invertebrates,ACEn
51_encrusting_ascidian,Other Invertebrates,ASEn
51_encrusting_bryozoans,Other Invertebrates,BREn
51_encrusting_octocoral,Other Invertebrates,OCE
51_encrusting_sponge,Other Invertebrates,SPEn
51_encrusting_zoantharian,Other Invertebrates,ZOEn
51_erect_single_ascidian,Other Invertebrates,ASES
51_fan_shape_octocoral,Other Invertebrates,OCFA
51_flabellate_sponge,Other Invertebrates,SPFl
51_globular_sponge,Other Invertebrates,SPGl
51_lobate_octocoral,Other Invertebrates,OCL
51_massive_bryozoans,Other Invertebrates,BRMa
51_massive_sponge,Other Invertebrates,SPM
51_massive_zoantharian,Other Invertebrates,ZOMa
51_papillate_sponge,Other Invertebrates,SPP
51_pedunculate_sponge,Other Invertebrates,SPPe
51_plumose_hydrozoan,Other Invertebrates,HPl
51_tubular_sponge,Other Invertebrates,SPT
51_whip_antipatharians,Other Invertebrates,ANWi
51_whip_shape_octocoral,Other Invertebrates,OCWS
5cm Agelas conifera/tubulata,Other Invertebrates,5cAgConTub
5cm Ailochroia crassa,Other Invertebrates,5cAiCr
5cm Aplysina Rope,Other Invertebrates,5cApRop
5cm Ball Sponge,Other Invertebrates,5cBaSp
5cm Brown and White Sponge,Other Invertebrates,5cBWSp
5cm Elkhorn Agelas,Other Invertebrates,5cElkAg
5cm Massive Sponge,Other Invertebrates,5cMaSp
5cm Multitubed Sponge,Other Invertebrates,5cMuSp
5cm Myrmekioderma,Other Invertebrates,5cMyrmek
5cm Orange Agelas,Other Invertebrates,5cOrAg
5cm Plakortis,Other Invertebrates,5cPlak
5cm Rope Sponge,Other Invertebrates,5cRpSp
5cm Sponge,Other Invertebrates,5cSpgOth
5cm Sponge Maybe,Other Invertebrates,5cSpMb
5cm Thick Encrusting Yellow Sclerosponge,Other Invertebrates,5cYlSclsp
5cm Thin Ear Sponge,Other Invertebrates,5cTnEarSp
5cm Tube Sponge,Other Invertebrates,5cTbSp
5cm White Encrusting Sponge,Other Invertebrates,5cWEnSp
5cm White Tube Sponge,Other Invertebrates,5cWTubSp
5cm Xestospongia muta,Other Invertebrates,5cXmuta
5cm Yellow Encrusting Sponge,Other Invertebrates,5cYEnSp
5c Yellow Ear Sponge,Other Invertebrates,5cYlEarSp
5mm Agelas conifera/tubulata,Other Invertebrates,5mmAgConTb
5mm Ailochroia crassa,Other Invertebrates,5mmAiCr
5mm Encrusting Sponge,Other Invertebrates,5mmEnSp
5mm Sponge,Other Invertebrates,5mmSpgOth
5mm Sponge Maybe,Other Invertebrates,5mmSpMb
5mm Thin Ear Sponge,Other Invertebrates,5mmTnEarSp
5mm White Encrusting Sponge,Other Invertebrates,5mmWEnSp
5mm Yellow Encrusting Sponge,Other Invertebrates,5mmYEnSp
7cm Agelas conifera/tubulata,Other Invertebrates,7cAgConTub
7cm Ailochroia crassa,Other Invertebrates,7cAiCr
7cm Aplysina Rope,Other Invertebrates,7cApRop
7cm Ball Sponge,Other Invertebrates,7cBaSp
7cm Brown and White Sponge,Other Invertebrates,7cBWSp
7cm Elkhorn Agelas,Other Invertebrates,7cElkAg
7cm Massive Sponge,Other Invertebrates,7cMaSp
7cm Multitubed Sponge,Other Invertebrates,7cMuSp
7cm Myrmekioderma,Other Invertebrates,7cMyrmek
7cm Orange Agelas,Other Invertebrates,7cOrAg
7cm Plakortis,Other Invertebrates,7cPlak
7cm Rope Sponge,Other Invertebrates,7cRpSp
7cm Sponge,Other Invertebrates,7cSpgOth
7cm Sponge Maybe,Other Invertebrates,7cSpMb
7cm Thick Encrusting Yellow Sclerosponge,Other Invertebrates,7cYlSclsp
7cm Thin Ear Sponge,Other Invertebrates,7cTnEarSp
7cm Tube Sponge,Other Invertebrates,7cTbSp
7cm White Tube Sponge,Other Invertebrates,7cWTubSp
7cm Xestospongia muta,Other Invertebrates,7cXmuta
7cm Yellow Ear Sponge,Other Invertebrates,7cYlEarSp
Aaptos_encrusting,Other Invertebrates,aapenc
Abietinaria spp.,Other Invertebrates,ABTI
Acanthella,Other Invertebrates,acant
Acanthodoris hudsoni,Other Invertebrates,Ahu
Acanthodoris nanaimoensis,Other Invertebrates,Ana
Acanthodoris spp.,Other Invertebrates,Acs
Acanthogorgia_fan,Other Invertebrates,actfan
Acmaea mitra,Other Invertebrates,Ami
Acodontaster hodgsoni,Other Invertebrates,ACOD
Acrozoanthus_encrusting,Other Invertebrates,acoenc
Acrozoanthus_massive,Other Invertebrates,acomas
Actinia equina,Other Invertebrates,Actinequ
Actiniaria,Other Invertebrates,Actini
Actinopyga varians,Other Invertebrates,ACVA
Adeonella calveti,Other Invertebrates,Adeonel_ca
Adocia,Other Invertebrates,ADOC
Aegires albus,Other Invertebrates,AEG
Aeolidia papillosa,Other Invertebrates,Apa
Aequipecten tehuelchus,Other Invertebrates,A.tehuelcu
Aequiyoldia eightsii,Other Invertebrates,Yold
aetea spp.,Other Invertebrates,Aetea
Agelas,Other Invertebrates,A.O
Agelas clathrodes,Other Invertebrates,ACl
Agelas conifera/tubulata,Other Invertebrates,AgConTub
Agelas_tubular,Other Invertebrates,agetub
Aglaophenia spp.,Other Invertebrates,AGLA
Aglaophenia trifida,Other Invertebrates,AglaTrif
Agonopsis vulsa,Other Invertebrates,Avu
Aiolochroia crassa,Other Invertebrates,Acra
Aiptasia pulchella,Other Invertebrates,APul
Aiptasia sp.,Other Invertebrates,aip
Aka sp. 2,Other Invertebrates,Aka_sp2
Akatopora leucocypha,Other Invertebrates,AkatoLeuco
Alcyonidium sp.,Other Invertebrates,ALSp
Alcyoniidae,Other Invertebrates,ALC-SF
Alcyoniidae Bleached (white),Other Invertebrates,ALC-SF-B*
Alcyonium antarcticum,Other Invertebrates,ALCYO
Alcyonium coralloides,Other Invertebrates,Alcyo_cora
Alcyonium siderium (canopy),Other Invertebrates,ALC
Alcyonium siderium (substratum),Other Invertebrates,ALS
Alcyonium spp.,Other Invertebrates,ALCY
Aldersladum,Other Invertebrates,Ald
Aldisa albomarginata,Other Invertebrates,Aal
Aldisa cooperi,Other Invertebrates,Acp
Aldisa tara,Other Invertebrates,Ata
Alectryonella plicatula,Other Invertebrates,ALECpli
Alicia mirabilis,Other Invertebrates,ALIM
Allostichaster capensis,Other Invertebrates,A.capensis
Amathia sp.,Other Invertebrates,Amath
Amauropsis aureolata,Other Invertebrates,AMAU
Amphibalanus amphitrite,Other Invertebrates,Amphib am
Amphimedon compressa,Other Invertebrates,AmphComp
Amphimedon spp.,Other Invertebrates,Amp_spp
Amphipoda,Other Invertebrates,AMPH.
"Amphipod, unidentified",Other Invertebrates,Amp
Amphissa columbiana,Other Invertebrates,Aco
Amphitrides gracilis,Other Invertebrates,Amphitrid_
Amplexidiscus_encrusting,Other Invertebrates,ampenc
Anasterias minuta,Other Invertebrates,Anasteria
Ancula gibbosa,Other Invertebrates,ANC
Anémona-sp1,Other Invertebrates,ANT-ANEM
Anemone,Other Invertebrates,Anemone
Anemone / Barnacles,Other Invertebrates,Ane_BAR
anemones: Flytrap,Other Invertebrates,TRAFL
anemones: Fourlobed,Other Invertebrates,TRAFO
Anemone: solitary,Other Invertebrates,ASOL
"Anemone, unidentified",Other Invertebrates,ANUN
Anemonia viridis,Other Invertebrates,ANEMV
Annalida,Other Invertebrates,Worm
Annectocyma major,Other Invertebrates,Anec_mj
"Annelida, unidentified",Other Invertebrates,ANNE
Annella,Other Invertebrates,ANN
Annella_fan,Other Invertebrates,anefan
Anomia achaeus,Other Invertebrates,Anom_ach
Anomia ephippium,Other Invertebrates,Anom_ephi
Anomia/Heteranomia spp.,Other Invertebrates,ANO
Anomia simplex,Other Invertebrates,ANS
Anomia sp.,Other Invertebrates,AnomiaSp
Anoplodactylus species,Other Invertebrates,AnoploSp
Anoxycalyx (Scolymastra) joubini,Other Invertebrates,ANOX
Anthelia,Other Invertebrates,anthe
Anthelia_clustered,Other Invertebrates,antclu
Anthoathecata,Other Invertebrates,Anto
Anthopleura,Other Invertebrates,Anthopleur
Anthopleura artemisia,Other Invertebrates,ANTHART
Anthopleura elegantissima,Other Invertebrates,ANEL
Anthopleura nigrescens,Other Invertebrates,A.nigresce
Anthopleura xanthogrammica,Other Invertebrates,ANXA
Anthothoe chilensis,Other Invertebrates,anemocomu
Anthozoa,Other Invertebrates,ANTH
Antillogorgia spp.,Other Invertebrates,ANTSPP
Antipatharia,Other Invertebrates,Ant
Antipatharia_arborescent,Other Invertebrates,antarb
Antipatharia_whip,Other Invertebrates,antwhi
Antropora sp.,Other Invertebrates,AntroSP
Aphrocallistes vastus,Other Invertebrates,APVA
Aplidiopsis pannosum,Other Invertebrates,APPA
Aplidium californicum,Other Invertebrates,APCA
Aplidium fuscum,Other Invertebrates,Aplidium f
Aplidium glabrum,Other Invertebrates,AGL
Aplidium imbutum,Other Invertebrates,APLI
Aplidium solidum,Other Invertebrates,APSO
Aplidium sp.,Other Invertebrates,Aplid
Aplidium stellatum,Other Invertebrates,APSTE
Aplysia dactylomela,Other Invertebrates,APLYsia
Aplysilla longispina,Other Invertebrates,AplysLong
Aplysilla sp.,Other Invertebrates,APL
Aplysilla sulfurea,Other Invertebrates,Aplys_sulf
Aplysina archeri,Other Invertebrates,AplArch
Aplysina cauliformis,Other Invertebrates,Acau
Aplysina fistularis,Other Invertebrates,AplFist
Aplysina fulva,Other Invertebrates,Aful
Aplysina fulva/cauliformis,Other Invertebrates,ApFuCa
Aplysina sp-2,Other Invertebrates,SPON-APLY2
Aplysina spp,Other Invertebrates,SPON-APLY4
Aplysina spp.,Other Invertebrates,AP sp
Aplysina-spp-6,Other Invertebrates,SPON-APLY6
Apomatus spp.,Other Invertebrates,Aps
Arbacia dufresnii,Other Invertebrates,ErizoVerde
Arbacia punculata,Other Invertebrates,Apun
Arborescent Soft Coral,Other Invertebrates,ArSC
Arctica islandica,Other Invertebrates,Arctic isl
Armactinia antarctica,Other Invertebrates,ARMA.
Armena californica,Other Invertebrates,Arc
ARMS-Barnacle,Other Invertebrates,_BAR
ARMS-CREP-Bivalve-empty,Other Invertebrates,_BIEM
ARMS-CREP-Calcareous Worm Tube,Other Invertebrates,_CAWT
ARMS-CREP-Eggs,Other Invertebrates,_EGG
ARMS-CREP-Foraminifera,Other Invertebrates,_FORM
ARMS-CREP-Soft Worm Tube,Other Invertebrates,_SOWT
ARMS-CREP-Vermetidae,Other Invertebrates,_VER
ARMS_OtherMollusk,Other Invertebrates,_OMOL
ARMS-PMT-Encrusting Sponge,Other Invertebrates,EncSP
ARMS-PMT-Tunicata,Other Invertebrates,TUNI
Arntzia gracilis,Other Invertebrates,ARN
Artemesina sp.,Other Invertebrates,ARTE
Artemidactis victrix,Other Invertebrates,ARMA
Artemidactis victrix.,Other Invertebrates,ARTEM
Arthropod-1,Other Invertebrates,ART-SP1
"Arthropoda, unidentified",Other Invertebrates,ARTH
Arthropoma sp.,Other Invertebrates,ArthroSP
Ascandra contorta,Other Invertebrates,Ascan_cont
Ascidiacea,Other Invertebrates,ASCID
Ascidia challengeri,Other Invertebrates,ASCI.
Ascidia columbiana,Other Invertebrates,ASCO
Ascidia conchilega,Other Invertebrates,Ascidi_con
Ascidia mentula,Other Invertebrates,Ascidi_men
Ascidian,Other Invertebrates,ASCD
Ascidian_clustered,Other Invertebrates,ascclu
Ascidian (colonial),Other Invertebrates,ASCD_col
Ascidian_encrusting,Other Invertebrates,ascenc
Ascidian_erect_single,Other Invertebrates,ascere
Ascidians,Other Invertebrates,Ascidians
Ascidian (solitary),Other Invertebrates,ASCD_sol
Ascidians: stalked:,Other Invertebrates,ASS
Ascidians: stalked:Colonial,Other Invertebrates,ASSC
Ascidians: Stalked: Social,Other Invertebrates,ASSL
Ascidians: stalked: Solitary,Other Invertebrates,ASSS
Ascidians: Unstalked,Other Invertebrates,ASU
Ascidians: Unstalked: Colonial,Other Invertebrates,ASUC
Ascidians: Unstalked: Solitary,Other Invertebrates,ASUS
Ascidians: Untalked: Social,Other Invertebrates,ASUL
"Ascidian, unidentified",Other Invertebrates,ASCI
Ascidia paratropa,Other Invertebrates,ASPT
Ascidia sp.,Other Invertebrates,AscidiaSP
Ascidia-sp1,Other Invertebrates,ASCI-SP1
Ascidia-sp13,Other Invertebrates,ASCI-SP13
Ascidia-sp-14,Other Invertebrates,ASCI-SP14
Ascidia-sp-15,Other Invertebrates,ASCI-SP15
Ascidia-sp-16,Other Invertebrates,ASCI-SP16
Ascidia-sp-2,Other Invertebrates,ASCI-SP2
Ascidia-sp-3,Other Invertebrates,ASCI-SP3
Ascidia-sp-4,Other Invertebrates,ASCI-SP-4
Ascidia-sp-5,Other Invertebrates,ASCI-SP5
Ascidia-sp-6,Other Invertebrates,ASCI-SP6
Ascidia-sp-7,Other Invertebrates,ASCI-SP7
Ascidia-sp-8,Other Invertebrates,ASCI-SP8
Ascidiella aspersa,Other Invertebrates,ASC
Ascidiella scabra,Other Invertebrates,Ascidiel_s
Asterias spp.,Other Invertebrates,AST
Asterocarpa humilis,Other Invertebrates,ascidROJA
Asteroidea,Other Invertebrates,STF
Asterospicularia_clustered,Other Invertebrates,astclu
Astrogorgia_fan,Other Invertebrates,astfan
Astyris gausapata,Other Invertebrates,Aga
Atubulata,Other Invertebrates,ATUB
Aulacomya atra,Other Invertebrates,cholga
Aulorhynchus flavidus,Other Invertebrates,Afl
Austromegabalanus psittacus,Other Invertebrates,cirriGrand
Axinella demicornis,Other Invertebrates,AXd
axinella polypoides,Other Invertebrates,AXp
axinella ps1,Other Invertebrates,Aps1
axinella ps2,Other Invertebrates,Aps2
axinella ps3,Other Invertebrates,Aps3
Axinella sp,Other Invertebrates,axi
Axinella vaselety,Other Invertebrates,AXv
Axynissa aculeata,Other Invertebrates,Axy_acu
Bacterial mats: Cyanobacteria,Other Invertebrates,BMC
Balanus/Amphibalanus spp.,Other Invertebrates,BAS
Balanus balanus,Other Invertebrates,BABA
Balanus crenatus,Other Invertebrates,BACR
Balanus eburneus,Other Invertebrates,Bal Eburn
Balanus glandula,Other Invertebrates,BAGL
Balanus nubilis,Other Invertebrates,BANB
Balanus rostratus,Other Invertebrates,BARO
Balanus sp.,Other Invertebrates,Bala_sp
Balanus trigonus,Other Invertebrates,BTR
Ball Sponge,Other Invertebrates,BallSpong
Barentsia sp.,Other Invertebrates,BarenSP
"Barnacle, dead",Other Invertebrates,BAUD
Barnacle/ Oyster,Other Invertebrates,BO
Barnacles,Other Invertebrates,Barn
Barnacless,Other Invertebrates,Bar
Barnacle - Tessoropora rosea,Other Invertebrates,Barnacle
"Barnacle, unidentified",Other Invertebrates,BAUN
Beania sp.,Other Invertebrates,BeaniaSP
Bebryce_fan,Other Invertebrates,bebfan
Bedeva paivae,Other Invertebrates,BedPai
Benthic Invertebrate,Other Invertebrates,BInv
Berthella californica,Other Invertebrates,Bca
Betaeus lilianae,Other Invertebrates,camaron
Biflustra arborencens,Other Invertebrates,BifluArbo
Biflustra tenuis,Other Invertebrates,BifluTenu
Biotic Matrix,Other Invertebrates,BMAT
Bispira brunnea,Other Invertebrates,Bisp_brun
Bittium eschrichtii,Other Invertebrates,Bes
Bivalve,Other Invertebrates,Bivalve
"bivalve, unidentified",Other Invertebrates,Biv
Bivalve_White,Other Invertebrates,Bvv_w
Bivalvia,Other Invertebrates,Bivalv_sp
BK26,Other Invertebrates,BK26
Black Coral 1,Other Invertebrates,BCor1
Black Nerita - Nerita Atramentosa,Other Invertebrates,NER ATR
Black/Octocorals (3D): fleshy,Other Invertebrates,OBF
Black/Octocorals (3D): fleshy: arborescent,Other Invertebrates,OBFA
Black/Octocorals (3D): fleshy: mushroom,Other Invertebrates,OBFM
Black/Octocorals (3D): Fleshy: Mushroom: St,Other Invertebrates,O_3D_MshSt
Black/Octocorals (3D): Fleshy: Mushroom: US,Other Invertebrates,O_3D_MshUS
Black/Octocorals (3D): nfleshy: arborescent,Other Invertebrates,OBNA
Black/Octocorals (3D): nfleshy:Bottle-brush,Other Invertebrates,OBNBB
Black/Octocorals (3D): nfleshy:Bottle-brushC,Other Invertebrates,OBNBC
Black/Octocorals (3D): nfleshy:Bottle-brushS,Other Invertebrates,OBNBS
Black/Octocorals (3D): non-fleshy: Bushy,Other Invertebrates,OBNB
Black/Octocorals: branching (3D),Other Invertebrates,OB
Black/Octocorals: branching (3D): non-fleshy,Other Invertebrates,OBN
Black/Octocorals: Fan(2D) Fern-frond,Other Invertebrates,OFaF
Black/Octocorals: Fan(2D) Fern-frond: complex,Other Invertebrates,OFaFC
Black/Octocorals: Fan(2D) Fern-frond: simple,Other Invertebrates,OFaFS
Black/Octocorals: Quill (seapen),Other Invertebrates,O_Seapen
black sponge,Other Invertebrates,BLs
Bleaching Cladiella,Other Invertebrates,B_Clad
Bleaching Lobophyton/Sinularia,Other Invertebrates,B_LoSi
Bleaching Lobophyton sp.,Other Invertebrates,B_LBPN
Bleaching Sinularia,Other Invertebrates,B_Sinu
Boltenia echinata,Other Invertebrates,BEC
Boltenia ovifera (canopy),Other Invertebrates,BOC
Boltenia ovifera (substratum),Other Invertebrates,BOS
Boltenia villosa,Other Invertebrates,BOVI
Boreotrophon multicostatus,Other Invertebrates,Bmu
Boring Bivalves,Other Invertebrates,Datemussel
Boring sponge,Other Invertebrates,BORS
Botrylloides,Other Invertebrates,Botryll
Botrylloides diegensis,Other Invertebrates,BotDie
Botrylloides nigrum,Other Invertebrates,BotryNigr
Botrylloides sp.,Other Invertebrates,Botryl
Botrylloides violaceus,Other Invertebrates,BOVO
Botryllus planus,Other Invertebrates,Botry plan
Botryllus schlosseri,Other Invertebrates,BSC
Botryllus sp.,Other Invertebrates,BOTsp
Botryllus sp1,Other Invertebrates,Bot_1
Botryllus tabori,Other Invertebrates,BotryTabo
Botryllus tuberatus,Other Invertebrates,BotryTube
Bougainvillia rugosa,Other Invertebrates,Bouga rugo
Bovallia gigantea,Other Invertebrates,BOVA
Brachidontes pharaonis,Other Invertebrates,BRACH
Brachidontes playasensis,Other Invertebrates,B.playasen
Brachidontes semilaevis,Other Invertebrates,B.semilaev
Brachidontes sp.,Other Invertebrates,MEJI
Brachiopoda,Other Invertebrates,BRA.
"Brachiopoda, unidentified",Other Invertebrates,BRAC
Brachopods,Other Invertebrates,BRA
Branching Gorgonian,Other Invertebrates,BrGorg
Branching-repent Sponge,Other Invertebrates,BraS
Briareum,Other Invertebrates,GORG-BRI
